Violation: Sample 51: ['QW0$$65535', 'IW7$$27637'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 317: ['QW0$$65535', 'IW7$$27642'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 318: ['QW0$$65535', 'IW7$$27632'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 445: ['QW0$$65535', 'IW7$$27682'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 446: ['QW0$$65535', 'IW7$$27672'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 447: ['QW0$$65535', 'IW7$$27662'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 448: ['QW0$$65535', 'IW7$$27652'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 449: ['QW0$$65535', 'IW7$$27642'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 567: ['QW0$$65535', 'IW7$$27685'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 568: ['QW0$$65535', 'IW7$$27675'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 569: ['QW0$$65535', 'IW7$$27665'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 570: ['QW0$$65535', 'IW7$$27655'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 571: ['QW0$$65535', 'IW7$$27645'], does not match the rule: [[['IW7', (27632.0, 27691.0)]], [['QW0', (0.0, 0.0)]], 2, 100]
Violation: Sample 52: ['QW0$$65535', 'IW7$$27730'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 53: ['QW0$$65535', 'IW7$$27720'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 54: ['QW0$$65535', 'IW7$$27710'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 55: ['QW0$$65535', 'IW7$$27700'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 56: ['QW0$$65535', 'IW7$$27690'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 57: ['QW0$$65535', 'IW7$$27680'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 175: ['QW0$$65535', 'IW7$$27701'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 176: ['QW0$$65535', 'IW7$$27775'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 177: ['QW0$$65535', 'IW7$$27765'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 178: ['QW0$$65535', 'IW7$$27755'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 179: ['QW0$$65535', 'IW7$$27744'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 180: ['QW0$$65535', 'IW7$$27734'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 181: ['QW0$$65535', 'IW7$$27724'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 182: ['QW0$$65535', 'IW7$$27714'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 183: ['QW0$$65535', 'IW7$$27704'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 185: ['QW0$$65535', 'IW7$$27684'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 186: ['QW0$$65535', 'IW7$$27674'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 305: ['QW0$$65535', 'IW7$$27762'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 306: ['QW0$$65535', 'IW7$$27762'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 307: ['QW0$$65535', 'IW7$$27742'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 309: ['QW0$$65535', 'IW7$$27722'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 310: ['QW0$$65535', 'IW7$$27712'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 311: ['QW0$$65535', 'IW7$$27702'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 312: ['QW0$$65535', 'IW7$$27692'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 313: ['QW0$$65535', 'IW7$$27682'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 314: ['QW0$$65535', 'IW7$$27672'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 435: ['QW0$$65535', 'IW7$$27782'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 436: ['QW0$$65535', 'IW7$$27772'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 437: ['QW0$$65535', 'IW7$$27762'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 438: ['QW0$$65535', 'IW7$$27752'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 439: ['QW0$$65535', 'IW7$$27742'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 440: ['QW0$$65535', 'IW7$$27732'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 441: ['QW0$$65535', 'IW7$$27722'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 442: ['QW0$$65535', 'IW7$$27712'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 443: ['QW0$$65535', 'IW7$$27702'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 444: ['QW0$$65535', 'IW7$$27692'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 445: ['QW0$$65535', 'IW7$$27682'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 446: ['QW0$$65535', 'IW7$$27672'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 565: ['QW0$$65535', 'IW7$$27705'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 566: ['QW0$$65535', 'IW7$$27695'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 567: ['QW0$$65535', 'IW7$$27685'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
Violation: Sample 568: ['QW0$$65535', 'IW7$$27675'], does not match the rule: [[['IW7', (27672.0, 27791.0)]], [['QW0', (0.0, 0.0)]], 3, 100]
